iter	RMSE
157	12.4896888
158	12.46530724
159	12.43692898
160	12.42292816
161	12.39871082
162	12.36391291
163	12.34775037
164	12.32654025
165	12.30351876
166	12.27067726
167	12.25332629
168	12.23589281
169	12.22390067
170	12.20816532
171	12.19412405
172	12.17902314
173	12.15222804
174	12.13640337
175	12.11598381
176	12.10401408
177	12.08505342
178	12.06289396
179	12.04706582
180	12.02765455
181	12.01330319
182	11.98762465
183	11.96543834
184	11.94466147
185	11.91734149
186	11.90353447
187	11.88251822
188	11.86666621
189	11.85037551
190	11.83577499
191	11.81355651
192	11.79290532
193	11.76971934
194	11.75512164
195	11.73619384
196	11.7242809
197	11.70960172
198	11.68380783
199	11.66523548
200	11.65122951
201	11.63305929
202	11.62495415
203	11.60721631
204	11.59024352
205	11.56743843
206	11.54427086
207	11.53199648
208	11.51660308
209	11.50083438
210	11.48428092
211	11.46341047
212	11.44961651
213	11.43517292
214	11.41611003
215	11.40257081
216	11.38474642
217	11.36717668
218	11.34621122
219	11.32805473
220	11.31539516
221	11.2928527
222	11.2679747
223	11.24976336
224	11.23834583
225	11.22039467
226	11.19810589
227	11.171643
228	11.15344742
229	11.13824645
230	11.11570926
231	11.10265959
232	11.07692699
233	11.05899548
234	11.04631628
235	11.02901778
236	11.00440174
237	10.99529505
238	10.96558336
239	10.95390701
240	10.94073745
241	10.92901819
242	10.91361581
243	10.89930363
244	10.87596282
245	10.86223395
246	10.84721142
247	10.82480457
248	10.80962129
249	10.79471121
250	10.77824884
251	10.75564864
252	10.74327297
253	10.72387243
254	10.71628794
255	10.70347399
256	10.69097041
257	10.67867466
258	10.66803862
259	10.65807178
260	10.63841991
261	10.62259594
262	10.6003576
263	10.58107645
264	10.56670382
265	10.55084457
266	10.53693077
267	10.52126449
268	10.50455712
269	10.49082288
270	10.47766034
271	10.46289179
272	10.43947204
273	10.42566817
274	10.41139741
275	10.39275464
276	10.37268263
277	10.35766354
278	10.34117587
279	10.33088374
280	10.31856102
281	10.30430446
282	10.28865847
283	10.27297433
284	10.2596681
285	10.25114427
286	10.23193994
287	10.21980478
288	10.20376587
289	10.19098602
290	10.18039053
291	10.16578186
292	10.15512279
293	10.14158941
294	10.13109899
295	10.11918579
296	10.10891595
297	10.09431456
298	10.08165326
299	10.07489836
300	10.06079925
301	10.03664908
302	10.02690191
303	10.01921233
304	10.01277134
305	9.999512561
306	9.986448057
307	9.973227807
308	9.961003674
309	9.948887028
310	9.932288146
311	9.924723084
312	9.908670104
313	9.886617955
314	9.874853422
315	9.857197816
316	9.844810399
317	9.836155748
318	9.823272982
319	9.808971207
320	9.79610748
321	9.784614122
322	9.774001648
323	9.763261822
324	9.744365879
325	9.733785046
326	9.717981391
327	9.703594686
328	9.690798437
329	9.677605033
330	9.66387385
331	9.648230008
332	9.641351487
333	9.631448303
334	9.616340503
335	9.599223188
336	9.584396206
337	9.572761738
338	9.553113194
339	9.542200522
340	9.528898366
341	9.518252323
342	9.505671676
343	9.494272375
344	9.48323167
345	9.473120794
346	9.456591361
347	9.446855493
348	9.435864372
349	9.425398045
350	9.407549045
351	9.395204105
352	9.385187366
353	9.369263543
354	9.358105137
355	9.350234684
356	9.340719336
357	9.325250121
358	9.316350754
359	9.308664827
360	9.297883653
361	9.286791281
362	9.274622424
363	9.258740052
364	9.250672956
365	9.238203159
366	9.228502949
367	9.220350395
368	9.209372964
369	9.198384967
370	9.188282574
371	9.168049143
372	9.157742073
373	9.145997893
374	9.129978933
375	9.117462499
376	9.103556444
377	9.092587792
378	9.078877225
379	9.067776854
380	9.052409216
381	9.035023006
382	9.02047693
383	9.006886779
384	8.993339993
385	8.978914794
386	8.965952657
387	8.956779039
388	8.94438691
389	8.930558783
390	8.913576521
391	8.901816384
392	8.891603607
393	8.882619201
394	8.870953714
395	8.856899931
396	8.840005069
397	8.829359799
398	8.818348525
399	8.80336073
400	8.789893363
401	8.774292271
402	8.763731165
403	8.752709764
404	8.742160802
405	8.730784855
406	8.716693893
407	8.708114005
408	8.696445721
409	8.683962378
410	8.672583286
411	8.660875315
412	8.649868846
413	8.640508172
414	8.632982545
415	8.623482202
416	8.61205561
417	8.602781541
418	8.589742795
419	8.577214693
420	8.564301303
421	8.5498511
422	8.541715325
423	8.52849177
424	8.520744346
425	8.510117201
426	8.497564259
427	8.486267583
428	8.472433078
429	8.460898832
430	8.452070082
431	8.441937587
432	8.431855809
433	8.419374847
434	8.407988269
435	8.400499054
436	8.388519231
437	8.378968928
438	8.368547124
439	8.357469739
440	8.346234765
441	8.334264149
442	8.325704432
443	8.312696253
444	8.30235213
445	8.292063967
446	8.287343251
447	8.275662633
448	8.26597962
449	8.257283361
450	8.246209805
451	8.231241962
452	8.225107503
453	8.213054314
454	8.202169297
455	8.189974031
456	8.178606976
457	8.166157477
458	8.151011457
459	8.136539379
460	8.127634021
461	8.114251634
462	8.100666283
463	8.092545117
464	8.084740477
465	8.074438048
466	8.068172928
467	8.056202151
468	8.044673274
469	8.034434476
470	8.020689978
471	8.012164459
472	7.999331284
473	7.988892441
474	7.978794735
475	7.968170229
476	7.955965956
477	7.947388658
478	7.938823939
479	7.933537805
480	7.923746012
481	7.913625714
482	7.900348862
483	7.893783902
484	7.883603673
485	7.87432696
486	7.866503479
487	7.855673286
488	7.848176707
489	7.835316188
490	7.827090536
491	7.815713358
492	7.807730367
493	7.803696368
494	7.798656232
495	7.789306293
496	7.780242873
497	7.771669556
498	7.762618126
499	7.756045787
